数据结构,操作系统,高等数学,软件工程,数据库原理,计算机网络,C语言程序设计,计算机导论
65,81.0,73,0,90,85,42.0,80.0
77,76.0,75,88,74,76,52.0,75.0
77,60.0,75,60,76,72,32.0,81.0
77,61.0,92,67,78,76,45.0,84.0
62,70.0,89,65,44,38,90.0,71.0
72,69.0,93,61,62,72,73.0,72.0
42,60.0,61,62,72,41,77.0,70.0
60,71.0,68,77,66,68,76.0,67.0
77,69.0,62,62,71,76,66.0,72.0
71,76.0,93,69,77,79,90.0,82.0
69,72.0,95,63,71,78,76.0,81.0
69,74.0,93,64,71,75,71.0,87.0
65,60.0,66,31,41,66,66.0,63.0
61,70.0,63,63,54,70,71.0,70.0
26,0.0,45,0,30,0,66.0,65.0
75,78.0,71,88,87,77,82.0,80.0
62,75.0,71,75,77,77,95.0,81.0
77,69.0,88,81,79,61,89.0,75.0
72,74.0,93,81,75,78,92.0,72.0
83,82.0,78,89,80,79,97.0,84.0
60,85.0,64,77,64,75,71.0,72.0
61,65.0,69,66,91,56,71.0,65.0
93,68.0,92,90,80,65,92.0,70.0
68,67.0,54,61,55,76,67.0,63.0
62,64.0,67,50,84,65,60.0,70.0
65,44.0,61,64,49,70,88.0,72.0
61,83.0,92,77,77,64,89.0,81.0
66,69.0,78,70,72,57,71.0,71.0
44,63.0,72,60,64,46,66.0,72.0
75,68.0,88,78,72,77,85.0,80.0
70,68.0,64,67,56,74,85.0,74.0
65,67.0,81,73,65,72,72.0,72.0
63,52.0,44,64,67,41,87.0,67.0
67,70.0,61,48,74,72,78.0,78.0
79,86.0,63,69,78,73,80.0,71.0
32,0.0,62,0,66,0,83.0,70.0
61,67.0,79,77,81,70,83.0,78.0
65,49.0,63,68,71,73,84.0,81.0
73,88.0,78,75,76,73,83.0,65.0
71,61.0,70,87,72,76,83.0,81.0
62,77.0,67,81,73,85,85.0,81.0
52,74.0,60,80,54,74,73.0,72.0
75,83.0,77,84,83,78,85.0,72.0
78,82.0,82,91,89,73,85.0,82.0
81,84.0,90,86,78,66,80.0,84.0
85,95.0,91,92,90,82,98.0,91.0
85,75.0,78,77,89,75,94.0,85.0
66,80.0,81,72,73,75,95.0,99.0
90,89.0,68,68,73,69,90.0,88.0
69,15.0,35,46,45,66,71.0,73.0
37,85.0,60,66,60,30,63.0,75.0
69,78.0,61,66,53,60,71.0,74.0
62,90.0,74,77,78,63,66.0,80.0
75,82.0,80,74,73,62,83.0,74.0
61,74.0,68,61,64,70,66.0,69.0
65,80.0,63,61,64,60,64.0,69.0
65,80.0,60,67,60,43,71.0,69.0
61,69.0,64,64,60,68,67.0,78.0
65,77.0,74,62,65,60,64.0,62.0
71,81.0,66,75,80,75,71.0,76.0
79,88.0,87,67,81,84,90.0,76.0
75,80.0,72,86,78,68,78.0,76.0
70,60.0,62,44,57,76,75.0,79.0
52,80.0,72,60,53,64,80.0,70.0
45,85.0,43,62,75,66,57.0,61.0
68,69.0,49,64,70,70,73.0,74.0
74,82.0,74,61,86,68,82.0,78.0
72,75.0,62,68,83,61,87.0,79.0
78,75.0,65,61,82,60,84.0,82.0
76,84.0,72,89,90,60,76.0,84.0
69,79.0,65,63,75,83,75.0,86.0
66,72.0,68,81,84,66,71.0,86.0
65,79.0,63,65,60,61,81.0,74.0
61,78.0,42,69,72,68,64.0,71.0
69,63.0,48,70,74,70,64.0,67.0
68,76.0,43,66,81,68,66.0,74.0
76,87.0,62,74,85,67,78.0,65.0
77,76.0,92,69,67,71,77.0,80.0
65,67.0,60,60,67,62,79.0,83.0
61,78.0,44,71,78,60,79.0,77.0
73,72.0,72,67,74,71,81.0,77.0
67,83.0,74,79,76,68,80.0,73.0
64,90.0,66,81,79,79,80.0,77.0
66,73.0,61,61,68,72,71.0,73.0
61,83.0,72,60,57,48,80.0,63.0
